xk,xpl,xmw,xTe,,,yts
0.6,0.8,1.141,285.5,,,3
0.6,0.8,1.097,292.5,,,3.5
0.6,0.8,1.052,299.6,,,4
0.6,0.8,1.006,306.9,,,4.5
0.6,0.8,0.9597,314.3,,,5
0.6,0.8,0.9116,321.9,,,5.5
0.6,0.8,0.8616,329.8,,,6
0.6,0.85,1.403,248.4,,,0
0.6,0.85,1.359,255,,,0.5
0.6,0.85,1.315,261.7,,,1
0.6,0.85,1.271,268.3,,,1.5
0.6,0.85,1.227,275,,,2
0.6,0.85,1.182,281.7,,,2.5
0.6,0.85,1.138,288.4,,,3
0.6,0.85,1.093,295.2,,,3.5
0.6,0.85,1.047,302.1,,,4
0.6,0.85,1.001,309,,,4.5
0.6,0.85,0.9543,316.1,,,5
0.6,0.85,0.9059,323.4,,,5.5
0.6,0.85,0.8557,331,,,6
0.6,0.9,1.404,252.6,,,0
0.6,0.9,1.359,259.1,,,0.5
0.6,0.9,1.314,265.5,,,1
0.6,0.9,1.269,272,,,1.5
0.6,0.9,1.224,278.4,,,2
0.6,0.9,1.179,284.8,,,2.5
0.6,0.9,1.134,291.3,,,3
0.6,0.9,1.089,297.8,,,3.5
0.6,0.9,1.043,304.4,,,4
0.6,0.9,0.9961,311.1,,,4.5
0.6,0.9,0.9486,317.9,,,5
0.6,0.9,0.8999,324.9,,,5.5
0.6,0.9,0.8494,332.1,,,6
0.6,0.95,1.405,256.7,,,0
0.6,0.95,1.359,263,,,0.5
0.6,0.95,1.313,269.2,,,1
0.6,0.95,1.267,275.4,,,1.5
0.6,0.95,1.221,281.6,,,2
0.6,0.95,1.175,287.9,,,2.5
0.6,0.95,1.13,294.1,,,3
0.6,0.95,1.084,300.3,,,3.5
0.6,0.95,1.037,306.6,,,4
0.6,0.95,0.9903,313,,,4.5
0.6,0.95,0.9425,319.5,,,5
0.6,0.95,0.8935,326.1,,,5.5
0.6,0.95,0.8429,333,,,6
0.6,1,1.405,260.7,,,0
0.6,1,1.357,266.7,,,0.5
0.6,1,1.31,272.7,,,1
0.6,1,1.264,278.7,,,1.5
0.6,1,1.217,284.7,,,2
0.6,1,1.171,290.6,,,2.5
0.6,1,1.125,296.6,,,3
0.6,1,1.078,302.6,,,3.5
0.6,1,1.031,308.6,,,4
0.6,1,0.984,314.6,,,4.5
0.6,1,0.9359,320.8,,,5
0.6,1,0.8867,327.1,,,5.5
0.6,1,0.8359,333.7,,,6
