xk,xpl,xmw,xTe,,,yts,ytt
0.4,0.65,0.8921,324.4,,,3.5,3
0.4,0.65,0.8532,331.4,,,3.5,3.5
0.4,0.65,0.8142,338.5,,,3.5,4
0.4,0.65,0.775,345.6,,,3.5,4.5
0.4,0.65,0.7353,352.8,,,3.5,5
0.4,0.65,0.6949,360.1,,,3.5,5.5
0.4,0.65,0.6534,367.6,,,3.5,6
0.4,0.65,1.104,286.1,,,4,0
0.4,0.65,1.065,293.1,,,4,0.5
0.4,0.65,1.027,300.1,,,4,1
0.4,0.65,0.9885,307,,,4,1.5
0.4,0.65,0.9506,313.8,,,4,2
0.4,0.65,0.913,320.6,,,4,2.5
0.4,0.65,0.8754,327.4,,,4,3
0.4,0.65,0.8379,334.2,,,4,3.5
0.4,0.65,0.8003,341,,,4,4
0.4,0.65,0.7623,347.9,,,4,4.5
0.4,0.65,0.7239,354.8,,,4,5
0.4,0.65,0.6847,361.9,,,4,5.5
0.4,0.65,0.6443,369.2,,,4,6
0.4,0.65,1.08,290.5,,,4.5,0
0.4,0.65,1.042,297.2,,,4.5,0.5
0.4,0.65,1.006,303.9,,,4.5,1
0.4,0.65,0.9689,310.5,,,4.5,1.5
0.4,0.65,0.9324,317.1,,,4.5,2
0.4,0.65,0.8961,323.7,,,4.5,2.5
0.4,0.65,0.8599,330.2,,,4.5,3
0.4,0.65,0.8237,336.8,,,4.5,3.5
0.4,0.65,0.7872,343.4,,,4.5,4
0.4,0.65,0.7505,350,,,4.5,4.5
0.4,0.65,0.7132,356.8,,,4.5,5
0.4,0.65,0.6751,363.7,,,4.5,5.5
0.4,0.65,0.6358,370.8,,,4.5,6
0.4,0.65,1.057,294.5,,,5,0
0.4,0.65,1.021,301,,,5,0.5
0.4,0.65,0.9859,307.4,,,5,1
0.4,0.65,0.9506,313.8,,,5,1.5
0.4,0.65,0.9155,320.2,,,5,2
0.4,0.65,0.8804,326.5,,,5,2.5
0.4,0.65,0.8454,332.8,,,5,3
0.4,0.65,0.8103,339.2,,,5,3.5
0.4,0.65,0.775,345.6,,,5,4
0.4,0.65,0.7393,352,,,5,4.5
0.4,0.65,0.7031,358.6,,,5,5
0.4,0.65,0.666,365.3,,,5,5.5
0.4,0.65,0.6278,372.2,,,5,6
0.4,0.65,1.036,298.3,,,5.5,0
0.4,0.65,1.002,304.5,,,5.5,0.5
0.4,0.65,0.9677,310.7,,,5.5,1
0.4,0.65,0.9336,316.9,,,5.5,1.5
