,y,yhat
2202,640.0551,635.71783
2203,575.065,585.98016
2204,560.4193,554.5401
2205,517.39764,543.78033
2206,541.19684,529.06805
2207,548.5197,528.8409
2208,534.78937,524.9172
2209,510.99014,519.573
2210,523.8051,510.8392
2211,489.02164,508.62756
2212,509.15942,495.35834
2213,481.69882,502.66098
2214,498.1752,500.47513
2215,532.0433,538.50903
2216,618.0866,608.2911
2217,705.96063,704.9962
2218,738.9134,758.85834
2219,756.3051,760.2734
2220,759.9665,758.73596
2221,719.6909,755.52277
2222,752.6437,742.8904
2223,792.00397,750.31665
2224,744.4055,753.1562
2225,662.0236,708.6584
2226,654.70074,626.1873
2227,561.33466,596.96954
2228,564.9961,555.3826
2229,589.71063,547.11993
2230,564.08075,548.2725
2231,528.3819,537.5673
2232,545.7736,522.78436
2233,496.34448,521.53876
2234,488.1063,505.77475
2235,483.52954,494.3996
2236,483.52954,484.12637
2237,493.59842,488.5936
2238,493.59842,503.7622
2239,537.5354,530.68195
2240,644.6319,614.699
2241,683.9921,713.1113
2242,722.437,727.66486
2243,734.3366,740.81415
2244,768.2047,741.0403
2245,744.4055,751.4611
2246,736.1673,745.49817
2247,746.2362,735.3906
2248,744.4055,715.0686
2249,692.23035,681.65326
2250,659.2776,622.90314
2251,563.16534,586.3669
2252,543.9429,545.7875
2253,541.19684,535.5812
2254,508.24408,528.7575
2255,502.75195,516.72644
2256,527.4665,509.57068
2257,530.2126,511.05118
2258,519.22833,511.25034
2259,502.75195,504.7193
2260,507.32874,496.4329
2261,519.22833,505.94885
2262,480.78348,507.6051
2263,485.36023,499.97714
2264,495.42914,503.56732
2265,478.95276,507.2892
2266,515.5669,501.8401
2267,497.25983,511.55804
2268,488.1063,504.15036
2269,500.0059,501.31415
2270,532.9586,505.96664
2271,512.82086,519.0158
2272,529.29724,514.7377
2273,535.7047,517.7727
2274,504.58267,519.78577
2275,504.58267,509.81885
2276,502.75195,505.9834
2277,516.48224,504.24564
2278,502.75195,506.00955
2279,488.1063,500.5886
2280,498.1752,494.26898
2281,493.59842,495.01822
2282,487.19095,491.0678
2283,501.8366,487.27087
2284,517.39764,489.43527
2285,508.24408,486.43018
2286,512.82086,487.82553
2287,511.9055,492.90436
2288,463.39175,496.18423
2289,472.5453,476.8954
2290,509.15942,478.3922
2291,509.15942,494.62476
2292,510.0748,499.0706
2293,479.8681,502.37146
2294,496.34448,491.90152
2295,487.19095,499.38263
2296,556.7579,497.13638
2297,529.29724,522.25134
2298,498.1752,516.6308
2299,507.32874,506.59332
2300,511.9055,508.62424
2301,537.5354,509.7683
2302,518.313,514.44086
2303,514.65155,506.27557
2304,489.02164,501.31747
2305,468.88388,491.5783
2306,477.12204,480.2114
2307,466.13782,478.4026
2308,464.3071,469.58432
2309,483.52954,473.48746
2310,474.37598,500.94443
2311,559.50397,514.7347
2312,662.0236,643.18756
2313,730.6752,737.72235
2314,739.82874,771.65564
2315,795.66534,767.05145
2316,792.00397,778.79065
2317,796.58075,781.0286
2318,737.99805,781.7173
2319,719.6909,756.04803
2320,773.6969,716.87317
2321,749.89764,708.1024
2322,660.19293,661.5265
2323,619.9173,596.94446
2324,566.8268,569.1037
2325,550.3504,549.332
2326,535.7047,542.1191
2327,551.26575,528.53235
2328,525.6358,525.6063
2329,516.48224,515.93494
2330,510.0748,507.2753
2331,509.15942,500.18066
2332,506.41336,496.5511
2333,517.39764,503.07983
2334,528.3819,522.4779
2335,596.1181,567.07715
2336,686.7382,667.7232
2337,793.83466,754.32275
2338,756.3051,805.2803
2339,748.98224,778.4112
2340,800.2421,762.0913
2341,779.189,781.2574
2342,796.58075,777.1678
2343,831.3642,787.7365
2344,826.7874,787.4627
2345,793.83466,757.45917
2346,713.28345,706.8569
2347,629.9862,641.37976
2348,596.1181,597.6352
2349,584.2185,577.9103
2350,546.68896,569.19684
2351,554.01184,553.52795
2352,532.0433,544.43427
2353,543.0275,534.4194
2354,533.87396,532.56836
2355,541.19684,523.0729
2356,528.3819,521.5874
2357,532.0433,519.77435
2358,532.0433,541.4631
2359,589.71063,580.5548
2360,698.6378,675.2372
2361,768.2047,771.20123
2362,795.66534,797.4618
2363,849.67126,802.48047
2364,836.8563,811.86017
2365,806.6496,806.3377
2366,831.3642,803.15125
2367,792.9193,808.9182
2368,814.8878,780.10754
2369,719.6909,751.16144
2370,680.33075,657.82184
2371,591.5413,612.01605
2372,586.9646,573.3977
2373,604.3563,565.1065
2374,603.4409,566.70435
2375,568.6575,560.767
2376,577.81104,548.0913
2377,565.91144,546.0377
2378,554.01184,538.8156
2379,551.26575,532.25665
2380,565.91144,526.4067
2381,571.40356,537.38275
2382,575.065,575.88654
2383,609.84845,636.42114
2384,662.939,712.6747
2385,758.1358,756.4638
2386,809.3957,800.4714
2387,819.4646,810.0088
2388,785.5965,803.7803
2389,833.1949,788.56494
2390,829.53345,794.79785
2391,782.8504,791.47314
2392,737.08264,759.0813
2393,752.6437,703.7987
2394,651.03937,668.5466
2395,629.9862,605.9681
2396,617.17126,586.711
2397,579.6417,575.6694
2398,559.50397,560.02216
2399,564.9961,546.617
2400,584.2185,539.60065
2401,548.5197,540.8585
2402,537.5354,527.46765
2403,530.2126,519.65265
2404,534.78937,516.2842
2405,521.97437,527.105
2406,534.78937,541.97473
2407,600.6949,593.8925
2408,692.23035,690.6272
2409,759.05115,760.6398
2410,836.8563,793.016
2411,803.90356,810.19366
2412,835.9409,788.9503
2413,831.3642,795.5685
2414,799.3268,795.2544
2415,780.1044,778.1755
2416,765.4586,755.2506
2417,698.6378,705.4619
2418,611.67914,633.30597
2419,602.5256,577.7825
2420,561.33466,564.8968
2421,579.6417,551.7742
2422,562.25,550.9281
2423,537.5354,543.05817
2424,523.8051,532.8978
2425,552.18115,523.7356
2426,548.5197,525.16455
2427,527.4665,522.07666
2428,516.48224,513.0788
2429,520.1437,511.34967
2430,521.97437,514.57446
2431,529.29724,519.02875
2432,530.2126,527.6465
2433,546.68896,532.0609
2434,545.7736,537.65466
2435,525.6358,535.76825
2436,551.26575,528.96643
2437,577.81104,538.1656
2438,601.6102,548.1331
2439,575.98035,559.25836
2440,571.40356,547.81146
2441,617.17126,542.5822
2442,583.30316,558.09033
2443,566.8268,546.441
2444,528.3819,538.1062
2445,527.4665,524.5576
2446,541.19684,521.85925
2447,564.08075,523.20264
2448,539.3661,526.08386
2449,539.3661,519.26324
2450,543.9429,516.8281
2451,545.7736,516.4667
2452,520.1437,518.1276
2453,527.4665,505.0279
2454,516.48224,507.83337
2455,493.59842,505.49026
2456,495.42914,497.4316
2457,503.66733,497.60623
2458,541.19684,503.07767
2459,526.55115,523.4155
2460,521.059,517.8551
2461,510.99014,517.6002
2462,525.6358,515.709
2463,520.1437,522.8943
2464,568.4878,559.79474
2465,480.02438,549.9205
2466,477.75607,523.04913
2467,526.5244,511.9684
2468,523.12195,515.1785
2469,519.71954,510.5744
2470,483.42682,502.31293
2471,485.6951,485.01578
2472,501.57318,492.89398
2473,512.9147,504.65295
2474,584.36584,539.295
2475,715.9268,649.4655
2476,858.8293,771.2725
2477,896.2561,832.59607
2478,871.3049,834.8809
2479,870.1707,822.575
2480,876.9756,819.083
2481,862.2317,826.23157
2482,866.7683,829.6766
2483,849.7561,823.5454
2484,827.0732,787.9649
2485,734.0732,722.0904
